p1_coordinate,disclosure_title,support_status,proof_ids,source_paths,earliest_support_date,implementation_receipts,notes
SPEC-18,Resume Integration Cost,p1_context_only,APEP-00000009;APEP-00000011,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
SPEC-19,Distributed Person-Centered Operating Layer,historical_conception_support,APEP-00000001;APEP-00000012;APEP-00000013,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
SPEC-20,Mission-Oriented Terminal Embodiment,p1_context_only,APEP-00000011,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
SPEC-21,Heterogeneous Substrate and Cross-System Orchestration,evidence_linking_in_progress,,,,,
SPEC-22,Business Operating-System Embodiment,p1_context_only,APEP-00000009,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
SPEC-23,Sovereign Mobile Runtime Layering,evidence_linking_in_progress,,,,,
SPEC-24,Physical Asset to Person or Business World Model,evidence_linking_in_progress,,,,,
SPEC-25,Offline Field Capture and Reconciliation,evidence_linking_in_progress,,,,,
SPEC-26,Authenticated Human and Authenticated Device Provenance,evidence_linking_in_progress,,,,,
SPEC-27,Controlled Portal and Action Surface,evidence_linking_in_progress,,,,,
SPEC-28,Replacement Endpoint and Restore,evidence_linking_in_progress,,,,,
SPEC-29,Modular Skill Flow Path Under the Operating Layer,evidence_linking_in_progress,,,,,
SPEC-30,Secondary Downflow and Dependency-Chain Embodiments,evidence_linking_in_progress,,,,,
SPEC-31,Secondary Patent-Flow Preservation Layer,p1_context_only,APEP-00000014,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
FIG-01,Overall System Architecture,historical_conception_support,APEP-00000001;APEP-00000013,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
FIG-02,Person Namespace / Human World Graph,evidence_linking_in_progress,,,,,
FIG-03,Runtime Resolution Flow,historical_conception_support,APEP-00000006;APEP-00000008,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
FIG-04,Separation of State Classes,evidence_linking_in_progress,,,,,
FIG-05,Dynamic Relevance,historical_conception_support,APEP-00000002;APEP-00000005;APEP-00000006;APEP-00000010,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
FIG-06,Cross-Provider Continuity,evidence_linking_in_progress,,,,,
FIG-07,Correction and Supersession,p1_context_only,APEP-00000014,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
FIG-08,Frozen Workstream / Moving Human,evidence_linking_in_progress,,,,,
FIG-09,Minimal Current World Slice,historical_conception_support,APEP-00000010,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
FIG-10,Transferable Skill Embodiment,evidence_linking_in_progress,,,,,
FIG-11,Multi-Person Privacy Boundary,evidence_linking_in_progress,,,,,
FIG-12,Resume Integration Cost,p1_context_only,APEP-00000009;APEP-00000011,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
FIG-13,Sovereign Mobile Runtime Layering,evidence_linking_in_progress,,,,,
FIG-14,Physical Asset Scan to Material Write-Back,evidence_linking_in_progress,,,,,
FIG-15,Replacement Endpoint / Provider-Independent Restore,evidence_linking_in_progress,,,,,
FIG-16,Distributed Person-Centered Operating Layer,historical_conception_support,APEP-00000001;APEP-00000012;APEP-00000013,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
FIG-17,Bounded Active AI Context over Durable Operating Memory,historical_conception_support,APEP-00000010,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
FIG-18,One Mission Across Heterogeneous Systems and Endpoints,evidence_linking_in_progress,,,,,
FIG-19,Modular Skill-Flow Path,evidence_linking_in_progress,,,,,
FIG-20,Secondary Downflow Extraction,evidence_linking_in_progress,,,,,
FIG-21,Receipt-Driven Execution and Material Write-Back,evidence_linking_in_progress,,,,,
FIG-22,Transcript / Noisy-Input Reconstruction,evidence_linking_in_progress,,,,,
FIG-23,Dependency Collision and Do-Not-Repeat State,evidence_linking_in_progress,,,,,
FIG-24,Downflow Portfolio Tree,evidence_linking_in_progress,,,,,
CLAIM-A,Illustrative Method Claim A,evidence_linking_in_progress,,,,,
CLAIM-B,Illustrative Physical-World Method Claim B,evidence_linking_in_progress,,,,,
CLAIM-C,Illustrative Operating-Layer Claim C,historical_conception_support,APEP-00000001;APEP-00000012;APEP-00000013,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
CLAIM-D,Illustrative Skill Flow Path Claim D,evidence_linking_in_progress,,,,,
CLAIM-E,Illustrative Secondary Downflow Claim E,evidence_linking_in_progress,,,,,
CLAIM-F,Illustrative Patent-Flow Preservation Claim F,p1_context_only,APEP-00000014,AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md,2026-05-26 source-stated / 2026-07-12 Git-verified,,Foundational-source mapping only. Later implementation/test/receipt evidence remains to be linked; source-stated 2026-05-26 date is not promoted to Git chronology.
